"","year","population","pop_no","stat_area","CU","escapement","er_E","er_2","er_3","total_runE","total_run2","total_run3","age_3","age_4","age_5","rec_E","rec_2","rec_3","RS_E","RS_2","RS_3","logRS1","logRS2","logRS3","Ut","Model","group","region","Smsy","Sgen","Umsy","U_relative"
"45",1980,"sylvia_ck",2,5,"hecate_strait_mainland",NA,0.407,0.416,0.461,NA,NA,NA,0.854411765,0.141176471,0.004411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,"Time-varying",4,"Hecate Lowlands",72.8807372045534,21.0088129476671,0.558688352848912,0.744601167858068
"46",1980,"tlell",49,2,"haida_gwaii_graham_isl_low",6000,0.309,NA,NA,8683,NA,NA,0.854,0.141,0.004,6566,NA,NA,1.094356079,NA,NA,0.0901661345881289,NA,NA,0.309,"Time-varying",1,"Haida Gwaii",3021.32005931339,1183.7955294008,0.455735774139724,0.678024455252143
"47",1980,"tsimtack_lk",3,5,"hecate_strait_mainland",300,0.407,0.416,0.461,506,514,557,0.854411765,0.141176471,0.004411765,888,898,983,2.960828843,2.992359641,3.277996651,1.08546924366625,1.09606225375767,1.18723245866157,0.416,"Time-varying",4,"Hecate Lowlands",404.109175707988,110.198607673371,0.584798827517399,0.711355735383418
"48",1980,"tyler_ck",24,6,"hecate_strait_mainland",50,0.407,0.416,0.461,84,86,93,0.854411765,0.141176471,0.004411765,216,218,239,4.311625479,4.369144467,4.775124368,1.46131497431506,1.47456721579936,1.56342001924796,0.416,"Time-varying",4,"Hecate Lowlands",237.528094219884,60.7395644404025,0.598747845360569,0.694783293540677
"49",1980,"wahoo",8,6,"brim_wahoo",200,0.562,0.57,0.461,457,465,371,0.713592233,0.286407767,0,840,854,664,4.199651232,4.268657591,3.318224164,1.43500148184131,1.45129939631348,1.19942974946207,0.57,"Time-varying",5,"Inner Waters",1024.26360635826,260.475640788635,0.5967066428395,0.955243262061884
"50",1980,"west_arm",21,6,"hecate_strait_mainland",NA,0.407,0.416,0.461,NA,NA,NA,0.854411765,0.141176471,0.004411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,"Time-varying",4,"Hecate Lowlands",512.57758744238,147.636460341622,0.5577182643186,0.745896318292989
"51",1980,"zolzap",45,3,"lower_nass",300,0.678,NA,NA,932,NA,NA,0.571,0.426,0.003,1963,NA,NA,6.544829216,NA,NA,1.87867530520934,NA,NA,0.678,"Time-varying",2,"Nass",762.704029225855,172.265115019451,0.630286608428231,1.07570110317075
"52",1980,"zymagotitz",39,4,"lower_skeena",200,0.74,NA,NA,769,NA,NA,0.571,0.426,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,"Time-varying",3,"Skeena",786.860375599597,180.702215886513,0.624558080237522,1.18483776515801
"53",1981,"aaltanhash",18,6,"northern_coastal",NA,0.405,0.439,0.434,NA,NA,NA,0.714,0.286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439,"Time-varying",5,"Inner Waters",335.219895373512,85.6241100008711,0.593765466552552,0.739349161797616
"54",1981,"arnoup",22,6,"hecate_strait_mainland",150,0.368,0.392,0.434,237,247,265,0.854411765,0.141176471,0.004411765,639,656,709,4.262223504,4.371049319,4.72723501,1.4497909734089,1.4750030990479,1.55334046709738,0.392,"Time-varying",4,"Hecate Lowlands",214.178881776589,39.5656685665489,0.679604694942438,0.576805903368872
